Age at Diagnosis,"All Races (Rate per 100,000)",All Races (Number of Cases),"Asian / Pacific Islander (Rate per 100,000)",Asian / Pacific Islander (Number of Cases),"Non-Hispanic Black (Rate per 100,000)",Non-Hispanic Black (Number of Cases),"Hispanic (Rate per 100,000)",Hispanic (Number of Cases),"Non-Hispanic White (Rate per 100,000)",Non-Hispanic White (Number of Cases),Cancer Type
20-24,0.4,27,*a,*a,*a,*a,0.5,17,*a,*a,Pancreas Cancer
25-29,0.6,43,*a,*a,*a,*a,0.7,22,*a,*a,Pancreas Cancer
30-34,1.0,72,*a,*a,*a,*a,1.1,32,0.7,18,Pancreas Cancer
35-39,1.4,92,1.2,16,*a,*a,1.3,34,1.7,39,Pancreas Cancer
40-44,2.5,158,1.6,20,*a,*a,2.9,73,2.3,47,Pancreas Cancer
45-49,5.0,313,4.4,54,8.9,33,4.5,110,4.9,108,Pancreas Cancer
50-54,8.8,543,6.9,77,11.3,45,8.5,186,9.1,225,Pancreas Cancer
55-59,15.5,976,13.2,142,26.9,113,14.6,276,15.1,429,Pancreas Cancer
60-64,24.8,"1,438",19.8,200,44.6,167,22.8,348,24.7,702,Pancreas Cancer
65-69,39.1,"1,925",32.8,288,53.6,158,38.0,433,39.9,"1,029",Pancreas Cancer
70-74,54.3,"2,137",50.6,339,68.2,150,52.6,427,54.4,"1,201",Pancreas Cancer
75-79,73.2,"1,983",63.7,284,85.2,130,71.4,392,75.2,"1,162",Pancreas Cancer
80-84,87.2,"1,661",76.8,251,90.4,98,81.3,313,91.4,984,Pancreas Cancer
85+,90.2,"2,093",84.3,333,105.0,120,86.9,363,91.1,"1,261",Pancreas Cancer
<1,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Prostate Cancer
1-4,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Prostate Cancer
5-9,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Prostate Cancer
10-14,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Prostate Cancer
15-19,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Prostate Cancer
20-24,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Prostate Cancer
25-29,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Prostate Cancer
30-34,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Prostate Cancer
35-39,0.3,18,*a,*a,*a,*a,*a,*a,*a,*a,Prostate Cancer
40-44,3.3,212,*a,*a,11.5,44,2.5,68,3.3,74,Prostate Cancer
45-49,17.9,"1,143",7.6,82,57.4,221,11.5,290,20.7,494,Prostate Cancer
50-54,73.5,"4,662",33.2,326,178.6,726,50.6,"1,160",83.1,"2,186",Prostate Cancer
55-59,193.0,"12,060",95.3,891,390.9,"1,617",140.1,"2,674",204.6,"6,046",Prostate Cancer
60-64,348.6,"19,364",187.6,"1,585",629.6,"2,213",262.6,"3,833",358.7,"10,283",Prostate Cancer
65-69,582.0,"25,934",328.4,"2,332",950.0,"2,386",478.0,"4,848",591.4,"14,519",Prostate Cancer
70-74,596.4,"20,288",353.7,"1,875",752.4,"1,286",490.3,"3,288",609.0,"12,246",Prostate Cancer
75-79,594.4,"13,037",355.8,"1,240",634.7,688,510.6,"2,074",603.6,"7,956",Prostate Cancer
80-84,490.3,"6,898",290.9,687,542.2,389,447.3,"1,165",504.7,"4,196",Prostate Cancer
85+,399.6,"5,198",234.5,528,526.8,290,381.4,865,415.2,"3,271",Prostate Cancer
<1,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Stomach Cancer
1-4,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Stomach Cancer
5-9,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Stomach Cancer
10-14,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Stomach Cancer
15-19,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Stomach Cancer
20-24,0.4,26,*a,*a,*a,*a,*a,*a,*a,*a,Stomach Cancer
25-29,0.7,48,*a,*a,*a,*a,0.9,29,*a,*a,Stomach Cancer
30-34,1.4,100,*a,*a,*a,*a,2.3,64,0.7,17,Stomach Cancer
35-39,2.7,181,2.4,31,4.8,19,4.0,108,1.0,22,Stomach Cancer
40-44,4.3,271,3.3,40,*a,*a,6.6,168,2.1,44,Stomach Cancer
45-49,5.6,350,5.5,67,5.4,20,8.9,215,1.9,42,Stomach Cancer
50-54,8.5,524,8.0,89,8.3,33,12.4,269,4.8,119,Stomach Cancer
55-59,9.9,622,10.2,110,12.6,53,13.9,263,6.3,180,Stomach Cancer
60-64,13.2,766,16.9,170,21.1,79,18.8,288,7.5,213,Stomach Cancer
65-69,16.9,830,20.7,182,20.7,61,24.0,273,11.2,289,Stomach Cancer
70-74,21.5,844,28.8,193,27.3,60,30.9,251,14.8,327,Stomach Cancer
75-79,29.2,791,39.0,174,39.3,60,39.9,219,21.1,327,Stomach Cancer
80-84,32.9,627,45.3,148,50.7,55,45.7,176,22.3,240,Stomach Cancer
85+,37.1,861,56.7,224,53.4,61,54.6,228,24.6,341,Stomach Cancer
<1,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Testis Cancer
1-4,0.5,23,*a,*a,*a,*a,*a,*a,*a,*a,Testis Cancer
5-9,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Testis Cancer
10-14,0.2,16,*a,*a,*a,*a,*a,*a,*a,*a,Testis Cancer
15-19,4.2,281,*a,*a,*a,*a,6.0,204,2.9,57,Testis Cancer
20-24,12.6,878,6.1,59,*a,*a,17.0,572,10.2,218,Testis Cancer
25-29,17.6,"1,357",5.7,70,2.7,15,22.9,767,18.1,458,Testis Cancer
30-34,16.3,"1,236",6.1,78,3.2,16,18.5,578,19.5,518,Testis Cancer
35-39,13.1,935,4.9,59,5.1,22,11.8,348,18.0,460,Testis Cancer
40-44,8.9,572,4.0,43,*a,*a,7.9,213,12.2,276,Testis Cancer
45-49,5.1,328,2.4,26,*a,*a,3.9,98,7.7,183,Testis Cancer
50-54,4.2,267,2.2,22,*a,*a,2.8,64,6.2,163,Testis Cancer
55-59,3.0,190,*a,*a,*a,*a,2.0,38,4.5,133,Testis Cancer
60-64,2.0,109,*a,*a,*a,*a,1.2,17,2.8,80,Testis Cancer
65-69,1.6,72,*a,*a,*a,*a,*a,*a,2.3,56,Testis Cancer
70-74,1.5,51,*a,*a,*a,*a,*a,*a,1.9,39,Testis Cancer
75-79,1.0,22,*a,*a,*a,*a,*a,*a,*a,*a,Testis Cancer
80-84,1.3,18,*a,*a,*a,*a,*a,*a,*a,*a,Testis Cancer
85+,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Testis Cancer
<1,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Thyroid Cancer
1-4,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Thyroid Cancer
5-9,*a,*a,*a,*a,*a,*a,*a,*a,*a,*a,Thyroid Cancer
10-14,1.5,97,*a,*a,*a,*a,1.8,60,1.2,21,Thyroid Cancer
15-19,4.7,303,5.6,49,*a,*a,4.5,149,5.0,91,Thyroid Cancer
20-24,9.2,600,10.1,92,3.9,17,8.5,274,10.0,193,Thyroid Cancer
25-29,15.3,"1,101",17.0,205,5.6,28,15.6,492,15.1,349,Thyroid Cancer
30-34,22.6,"1,603",21.5,286,8.1,37,23.0,652,23.6,573,Thyroid Cancer
35-39,28.2,"1,903",29.2,379,12.8,51,26.5,717,30.8,708,Thyroid Cancer
40-44,31.2,"1,943",33.7,410,14.7,54,30.9,790,30.8,635,Thyroid Cancer
45-49,31.6,"1,973",34.5,420,19.2,71,32.1,779,30.4,667,Thyroid Cancer
50-54,31.3,"1,941",35.0,389,20.3,81,33.5,729,28.0,694,Thyroid Cancer
55-59,31.0,"1,947",34.6,373,20.9,88,33.2,629,28.6,813,Thyroid Cancer
60-64,29.2,"1,692",33.4,337,18.4,69,31.3,478,27.3,778,Thyroid Cancer
65-69,30.8,"1,516",36.5,320,19.0,56,36.5,416,27.0,696,Thyroid Cancer
70-74,29.3,"1,154",31.5,211,26.8,59,33.4,271,26.7,589,Thyroid Cancer
75-79,24.1,653,24.9,111,16.4,25,28.0,154,22.5,348,Thyroid Cancer
80-84,17.1,326,19.6,64,*a,*a,22.3,86,14.9,160,Thyroid Cancer
85+,10.8,251,13.4,53,*a,*a,13.2,55,9.2,128,Thyroid Cancer
